name,lat,lon,level,parent,source_name
香春町,33.668006,130.847401,municipality,,香春町役場
香美市,33.60386,133.686245,municipality,,香美市役所
香美町,35.632169,134.629175,municipality,,香美町役場
香芝市,34.541295,135.699162,municipality,,香芝市役所
馬路村,33.555347,134.048114,municipality,,馬路村役場
駒ヶ根市,35.728861,137.933993,municipality,,駒ヶ根市役所
駿河区,34.960745,138.404047,municipality,,駿河区役所
高千穂町,32.711651,131.307871,municipality,,高千穂町役場
高原町,31.928413,131.00787,municipality,,高原町役場
高取町,34.449468,135.793168,municipality,,高取町役場
高山市,36.146093,137.252206,municipality,,高山市役所
高岡市,36.754099,137.025717,municipality,,高岡市役所
高島市,35.353052,136.035785,municipality,,高島市役所
高崎市,36.32195,139.003355,municipality,,高崎市役所
高松市,34.342791,134.046574,municipality,,高松市役所
高根沢町,36.630976,139.986672,municipality,,高根沢町役場
高梁市,34.791361,133.616678,municipality,,高梁市役所
高槻市,34.8461,135.617216,municipality,,高槻市役所
高津区,35.599443,139.608032,municipality,,高津区役所
高浜市,34.92763,136.98766,municipality,,高浜市役所
高浜町,35.487904,135.545969,municipality,,高浜町役場
高畠町,38.002183,140.18895,municipality,,高畠町役場
高知市,33.558722,133.531094,municipality,,高知市役所
高知県,33.559722,133.531111,prefecture,,高知県庁
高石市,34.520673,135.442395,municipality,,高石市役所
高砂市,34.766321,134.790509,municipality,,高砂市役所
高萩市,36.713674,140.709506,municipality,,高萩市役所
高野町,34.216077,135.586536,municipality,,高野町役場
高鍋町,32.12799,131.503341,municipality,,高鍋町役場
鬼北町,33.255792,132.684032,municipality,,鬼北町役場
魚沼市,37.236431,138.963775,municipality,,魚沼市役所
魚津市,36.827367,137.40919,municipality,,魚津市役所
鮫川村,37.042229,140.509699,municipality,,鮫川村役場
鮭川村,38.796455,140.222007,municipality,,鮭川村役場
鯖江市,35.956565,136.184238,municipality,,鯖江市役所
鰺ヶ沢町,40.783011,140.233912,municipality,,鰺ヶ沢町役場
鳥取南部町,35.34033,133.326829,ward,鳥取,南部町役場（鳥取）
鳥取市,35.494452,134.222154,municipality,,鳥取市役所
鳥取日野町,35.240793,133.442659,ward,鳥取,日野町役場（鳥取）
鳥取県,35.503449,134.238261,prefecture,,鳥取県庁
鳥栖市,33.378061,130.505025,municipality,,鳥栖市役所
鳥羽市,34.481432,136.843378,municipality,,鳥羽市役所
鳩山町,35.981468,139.334106,municipality,,鳩山町役場
鳴沢村,35.481318,138.706609,municipality,,鳴沢村役場
鳴門市,34.172919,134.608926,municipality,,鳴門市役所
鴨川市,35.114017,140.098805,municipality,,鴨川市役所
鴻巣市,36.065758,139.522172,municipality,,鴻巣市役所
鶴ヶ島市,35.934523,139.393126,municipality,,鶴ヶ島市役所
鶴居村,43.23016,144.321165,municipality,,鶴居村役場
鶴岡市,38.727183,139.826725,municipality,,鶴岡市役所
鶴田町,40.758819,140.428702,municipality,,鶴田町役場
鷹栖町,43.843321,142.354382,municipality,,鷹栖町役場
鹿児島市,31.596789,130.557339,municipality,,鹿児島市役所
鹿児島県,31.560278,130.558056,prefecture,,鹿児島県庁
鹿屋市,31.378268,130.852223,municipality,,鹿屋市役所
鹿島市,33.103804,130.098603,municipality,,鹿島市役所
鹿嶋市,35.965721,140.644852,municipality,,鹿嶋市役所
鹿沼市,36.566681,139.745045,municipality,,鹿沼市役所
鹿角市,40.215789,140.788519,municipality,,鹿角市役所
鹿追町,43.098876,142.989028,municipality,,鹿追町役場
鹿部町,42.026639,140.831672,municipality,,鹿部町役場
麻生区,35.603769,139.505686,municipality,,麻生区役所
麻績村,36.456086,138.045267,municipality,,麻績村役場
黒松内町,42.667788,140.307739,municipality,,黒松内町役場
黒滝村,34.309276,135.85225,municipality,,黒滝村役場
黒潮町,33.024965,133.004158,municipality,,黒潮町役場
黒石市,40.642608,140.594547,municipality,,黒石市役所
黒部市,36.87151,137.448028,municipality,,黒部市役所
龍ケ崎市,35.911594,140.182265,municipality,,龍ケ崎市役所
龍郷町,28.4133,129.589355,municipality,,龍郷町役場
